OID_,lease_id,grow_area_name,grow_area_desc,cmu_name,rainfall_thresh_in,latitude,longitude
169,C002,,,,4,32.089729030000001,-80.906875159999998
161,C004,,,,4,32.219671630000001,-80.890804169999996
178,C009,,,,4,32.150112460000003,-80.860428279999994
167,C027,,,,4,32.164812540000000,-80.791682280000003
173,C031,,,,4,32.193312779999999,-80.721733330000006
195,C032,,,,4,32.239019700000000,-80.797724880000004
159,C033,,,,4,32.216616969999997,-80.818093529999999
157,C043,,,,4,32.238640400000001,-80.758882139999997
229,C047,,,,4,32.262559609999997,-80.775159059999993
213,C048,,,,4,32.262438709999998,-80.794503950000006
228,C049,,,,4,32.246731560000001,-80.795968340000002
216,C050,,,,4,32.253021689999997,-80.770822449999997
215,C053,,,,4,32.270148280000001,-80.777596160000002
214,C054,,,,4,32.284827370000002,-80.776607850000005
127,C057,,,,4,32.322354580000002,-80.861811169999996
192,C059,,,,4,32.378878530000001,-80.817946010000000
136,C060,,,,4,32.404084689999998,-80.809854439999995
191,C061,,,,4,32.429103130000001,-80.821901299999993
227,C062,,,,4,32.404325929999999,-80.822962509999996
190,C063,,,,4,32.339382170000000,-80.776059540000006
152,C064,,,,4,32.319467660000001,-80.661950169999997
183,C065,,,,4,32.454864829999998,-80.848997550000007
154,C066,,,,4,32.434221350000001,-80.854858780000001
189,C067,,,,4,32.466311879999999,-80.840056840000003
194,C069,,,,4,32.507523519999999,-80.848155779999999
131,C070,,,,4,32.484387320000003,-80.798992200000001
153,C071,,,,4,32.522923069999997,-80.816542880000000
130,C072,,,,4,32.523591430000003,-80.782334700000007
148,C080,,,,4,32.393913419999997,-80.722232379999994
201,C081,,,,4,32.384885240000003,-80.712769140000006
239,C082,,,,4,32.409511780000003,-80.706012770000001
129,C097,,,,4,32.290283580000001,-80.616081660000006
128,C102,,,,4,32.310591680000002,-80.529213970000001
185,C103,,,,4,32.334909390000000,-80.568168700000001
171,C105,,,,4,32.359354240000002,-80.543288980000000
202,C106,,,,4,32.371756169999998,-80.532550860000001
172,C107,,,,4,32.363861389999997,-80.539755360000001
233,C108,,,,4,32.363683010000003,-80.532605369999999
234,C109,,,,4,32.358024710000002,-80.534235390000006
120,C114,,,,4,32.393473030000003,-80.627357020000005
151,C116,,,,4,32.457601060000002,-80.698188660000000
140,C119,,,,4,32.387976330000001,-80.586568119999995
126,C122,,,,4,32.418909929999998,-80.584312049999994
149,C123,,,,4,32.488468939999997,-80.693905709999996
198,C129,,,,4,32.516312440000000,-80.714467040000002
193,C131,,,,4,32.436719400000001,-80.500630009999995
203,C133,,,,4,32.505551969999999,-80.641654389999999
188,C136,,,,4,32.525848889999999,-80.380747060000004
115,C137,,,,4,32.500834730000001,-80.386998419999998
118,C138,,,,4,32.484125849999998,-80.400052560000006
112,C139,,,,4,32.513925739999998,-80.396069530000005
230,C157,,,,4,32.559820299999998,-80.233963119999999
206,C166,,,,4,32.714286090000002,-80.200769760000000
204,C167,,,,4,32.634971080000000,-80.311328730000000
207,C168,,,,4,32.707750320000002,-80.222372870000001
210,C169,,,,4,32.677182739999999,-80.222961369999993
223,C173,,,,4,32.626147799999998,-80.254535860000004
100,C188,,,,4,32.580903480000003,-80.187362160000006
103,C191,,,,4,32.623463049999998,-80.108976490000003
102,C192,,,,4,32.635334000000000,-80.072063600000007
94,C195,,,,4,32.643717750000000,-80.038283849999999
91,C197,,,,4,32.663588390000001,-79.982179070000001
106,C198,,,,4,32.649566200000002,-79.991424480000006
56,C199,,,,4,32.682908030000000,-79.903192809999993
197,C200,,,,4,32.734706979999999,-80.000838119999997
92,C202,,,,4,32.661083550000001,-79.950345670000004
